2020-07-27,3663,11022.8
2020-07-28,3664,10908.5
2020-07-29,3665,11105.9
2020-07-30,3666,11096.2
2020-07-31,3667,11333.4
2020-08-01,3668,11803.1
2020-08-02,3669,11066.8
2020-08-03,3670,11224.4
2020-08-04,3671,11184.7
2020-08-05,3672,11735.1
2020-08-06,3673,11757.1
2020-08-07,3674,11592
2020-08-08,3675,11764.3
2020-08-09,3676,11681.2
2020-08-10,3677,11889.2
2020-08-11,3678,11390.4
2020-08-12,3679,11557.2
2020-08-13,3680,11770.9
2020-08-14,3681,11750.8
2020-08-15,3682,11845.3
2020-08-16,3683,11899
2020-08-17,3684,12282.6
2020-08-18,3685,11947.6
2020-08-19,3686,11750.2
2020-08-20,3687,11856.9
2020-08-21,3688,11529.2
2020-08-22,3689,11661.3
2020-08-23,3690,11641.6
2020-08-24,3691,11753.5
2020-08-25,3692,11324.8
2020-08-26,3693,11462.3
2020-08-27,3694,11327.4
2020-08-28,3695,11527.4
2020-08-29,3696,11468.1
2020-08-30,3697,11702
2020-08-31,3698,11644.2
2020-09-01,3699,11914.9
2020-09-02,3700,11413.3
2020-09-03,3701,10168.8
2020-09-04,3702,10472.5
2020-09-05,3703,10092.2
2020-09-06,3704,10296.4
2020-09-07,3705,10376.9
2020-09-08,3706,10126.6
2020-09-09,3707,10224.6
2020-09-10,3708,10339.7
2020-09-11,3709,10390.2
2020-09-12,3710,10441.9
2020-09-13,3711,10326
2020-09-14,3712,10675.3
2020-09-15,3713,10785.3
2020-09-16,3714,10949.5
2020-09-17,3715,10941.3
2020-09-18,3716,10933
2020-09-19,3717,11081.8
2020-09-20,3718,10921.5
2020-09-21,3719,10416.8
2020-09-22,3720,10531.5
2020-09-23,3721,10237.3
2020-09-24,3722,10739.4
2020-09-25,3723,10688.8
2020-09-26,3724,10727.9
2020-09-27,3725,10776.2
2020-09-28,3726,10693.2
2020-09-29,3727,10840.9
2020-09-30,3728,10776.1
2020-10-01,3729,10620.5
2020-10-02,3730,10572.3
2020-10-03,3731,10544.2
2020-10-04,3732,10672.9
2020-10-05,3733,10789.5
2020-10-06,3734,10602.6
2020-10-07,3735,10670.9
2020-10-08,3736,10924.1
2020-10-09,3737,11054.2
2020-10-10,3738,11298.4
2020-10-11,3739,11371
2020-10-12,3740,11533.9
2020-10-13,3741,11423.8
2020-10-14,3742,11420.4
2020-10-15,3743,11503
2020-10-16,3744,11322
2020-10-17,3745,11362.1
2020-10-18,3746,11506.9
2020-10-19,3747,11753.4
2020-10-20,3748,11913.5
2020-10-21,3749,12808.7
2020-10-22,3750,12974.6
2020-10-23,3751,12934.1
2020-10-24,3752,13117.2
2020-10-25,3753,13032.2
2020-10-26,3754,13061.6
2020-10-27,3755,13657.8
2020-10-28,3756,13278.9
2020-10-29,3757,13457.2
2020-10-30,3758,13559.9
2020-10-31,3759,13797.3
2020-11-01,3760,13759.4
2020-11-02,3761,13561.4
2020-11-03,3762,14019.9
2020-11-04,3763,14145.6
2020-11-05,3764,15587.1
2020-11-06,3765,15577.9
2020-11-07,3766,14828.4
2020-11-08,3767,15483.7
2020-11-09,3768,15327.2
2020-11-10,3769,15303.6
2020-11-11,3770,15695.8
2020-11-12,3771,16294.7
2020-11-13,3772,16324.2
2020-11-14,3773,16071
2020-11-15,3774,15953
2020-11-16,3775,16715.8
2020-11-17,3776,17662.3
2020-11-18,3777,17774.6
2020-11-19,3778,17803.5
2020-11-20,3779,18675.2
2020-11-21,3780,18687.2
2020-11-22,3781,18412.9
2020-11-23,3782,18379.6
2020-11-24,3783,19152.6
2020-11-25,3784,18723
2020-11-26,3785,17162
2020-11-27,3786,17127.1
2020-11-28,3787,17730.7
2020-11-29,3788,18185.5
2020-11-30,3789,19698.1
2020-12-01,3790,18770.7
2020-12-02,3791,19218.8
2020-12-03,3792,19433.3
2020-12-04,3793,18658.1
2020-12-05,3794,19146.5
2020-12-06,3795,19379.9
2020-12-07,3796,19170.7
2020-12-08,3797,18326.6
2020-12-09,3798,18546
2020-12-10,3799,18247.2
2020-12-11,3800,18023.6
2020-12-12,3801,18808.9
2020-12-13,3802,19176.8
2020-12-14,3803,19273.8
2020-12-15,3804,19434.9
2020-12-16,3805,21352.2
2020-12-17,3806,22825.4
2020-12-18,3807,23127.9
2020-12-19,3808,23844
2020-12-20,3809,23474.9
2020-12-21,3810,22728.5
2020-12-22,3811,23823.2
2020-12-23,3812,23257.9
2020-12-24,3813,23736.5
2020-12-25,3814,24689.6
2020-12-26,3815,26454.4
2020-12-27,3816,26261.3
2020-12-28,3817,27057.8
2020-12-29,3818,27376
2020-12-30,3819,28868.7
2020-12-31,3820,28949.4
2021-01-01,3821,29359.9
2021-01-02,3822,32193.3
2021-01-03,3823,32958.9
2021-01-04,3824,32022.6
